Now: 20/12/2023 15:40:44
Battery Level: 1.5V
MiniCTD: S/N 58934
Site info: 2023_SAMAO_19DIC
Calibrated: 22/02/2017
Latitude: 21.361392
Mode: M1
Tare: 9.2214
Pressure units: dBar
time	Pressure	Temperature	Conductivity	Salinity	Density
2023-12-20 16:08:06	8.856	24.768	1.584	0.8002349330617877	997.7507078649438
2023-12-20 16:08:07	9.15	24.763	1.584	0.8003182314865759	997.7533733589948
2023-12-20 16:08:08	9.367	24.758	1.583	0.7998734767140117	997.7552929747991
2023-12-20 16:08:09	9.669	24.755	1.583	0.7999224194927351	997.7574575521137
2023-12-20 16:08:10	9.963	24.751	1.584	0.8005173358743016	997.7602533155905
2023-12-20 16:08:11	10.283	24.75	1.583	0.8000031042640193	997.7615633147624
2023-12-20 16:08:12	10.627	24.746	1.583	0.800068856142552	997.7641850112803
2023-12-20 16:08:13	10.892	24.744	1.583	0.8001009809149743	997.7659145541348
2023-12-20 16:08:14	11.314	24.742	1.583	0.8001318339008264	997.7683509708166
2023-12-20 16:08:15	11.599	24.739	1.583	0.8001809411592052	997.770438644941
2023-12-20 16:08:16	11.96	24.737	1.583	0.8002122943413831	997.7726003294694
2023-12-20 16:08:17	12.358	24.735	1.583	0.8002433492688538	997.7749285773506
2023-12-20 16:08:18	12.589	24.731	1.583	0.8003100515452212	997.7770410376319
2023-12-20 16:08:19	13.035	24.728	1.582	0.799828872904096	997.7794541526694
2023-12-20 16:08:20	13.362	24.729	1.583	0.80033806850965	997.7810576513444
2023-12-20 16:08:21	13.664	24.729	1.583	0.8003356169138456	997.7824174097764
2023-12-20 16:08:22	14.01	24.725	1.582	0.7998723718297452	997.7846482469549
2023-12-20 16:08:23	14.42	24.72	1.583	0.8004838204848711	997.7882336215819
2023-12-20 16:08:24	14.827	24.716	1.583	0.8005491269145437	997.7911380865837
2023-12-20 16:08:25	15.084	24.713	1.582	0.800069345662732	997.792699755048
2023-12-20 16:08:26	15.387	24.694	1.581	0.7998633866432165	997.7987537069288
2023-12-20 16:08:27	15.618	24.677	1.581	0.8001530620817441	997.8043444696232
2023-12-20 16:08:28	15.882	24.672	1.58	0.7997071162496254	997.8064714808296
2023-12-20 16:08:29	16.184	24.664	1.583	0.8014309492682722	997.8111709509996
2023-12-20 16:08:30	16.427	24.633	1.586	0.8035524065278217	997.8217543522851
2023-12-20 16:08:31	16.667	24.529	1.586	0.8053469210905827	997.8505827273673
2023-12-20 16:08:32	16.884	24.478	1.586	0.8062286230324885	997.8651317287889
2023-12-20 16:08:33	17.125	24.451	1.586	0.8066950379515467	997.8733929752209
2023-12-20 16:08:34	17.365	24.441	1.586	0.8068666586739379	997.8771302432048
2023-12-20 16:08:35	17.584	24.423	1.588	0.8082426922059313	997.8836997750969
2023-12-20 16:08:36	17.823	24.347	1.593	0.8122326079998102	997.9069366159338
2023-12-20 16:08:37	18.021	24.196	1.595	0.8159524376068423	997.9485159612393
2023-12-20 16:08:38	18.302	23.969	1.591	0.8178160017144015	998.0077220175118
2023-12-20 16:08:39	18.555	23.74	1.584	0.8181063614132678	998.065609522841
2023-12-20 16:08:40	18.783	23.599	1.58	0.8184514026186399	998.1014527910302
2023-12-20 16:08:41	19.024	23.439	1.578	0.8202244671731214	998.1428583657447
2023-12-20 16:08:42	19.287	23.326	1.575	0.8206158102404332	998.1717205489635
2023-12-20 16:08:43	19.502	23.255	1.574	0.8213449165298329	998.1903828672384
2023-12-20 16:08:44	19.746	23.222	1.572	0.8208440000680592	998.1990569528392
2023-12-20 16:08:45	20.002	23.175	1.571	0.8211413107244655	998.2117435494521
2023-12-20 16:08:46	20.22	23.142	1.568	0.8200919134631994	998.2198592695881
2023-12-20 16:08:47	20.46	23.099	1.567	0.8203166300710357	998.2314242109467
2023-12-20 16:08:48	20.647	23.06	1.566	0.8204698827032613	998.2417207169246
2023-12-20 16:08:49	21.016	23.028	1.564	0.8199465594409795	998.2506431438613
2023-12-20 16:08:50	21.19	22.998	1.564	0.820486286425068	998.2590003209203
2023-12-20 16:08:51	21.36	22.977	1.564	0.8208640359911201	998.265063519292
2023-12-20 16:08:52	21.672	22.953	1.563	0.8207454267140659	998.2721043034054
2023-12-20 16:08:53	21.947	22.919	1.561	0.8202577010331691	998.2810705541083
2023-12-20 16:08:54	22.168	22.899	1.562	0.8211675435677996	998.2875143979458
2023-12-20 16:08:55	22.489	22.887	1.562	0.8213819114067338	998.2919815328319
2023-12-20 16:08:56	22.727	22.867	1.563	0.822292691975225	998.2984971367767
2023-12-20 16:08:57	22.986	22.865	1.563	0.8223266791952795	998.300171121789
2023-12-20 16:08:58	23.309	22.855	1.563	0.8225051723617398	998.3041421252916
2023-12-20 16:08:59	23.613	22.845	1.562	0.8221329429059683	998.3076089768268
2023-12-20 16:09:00	23.778	22.835	1.561	0.8217617765269681	998.3104457512587
2023-12-20 16:09:01	24.112	22.83	1.56	0.821298387393953	998.3127931860145
2023-12-20 16:09:02	24.36	22.823	1.56	0.8214230395148246	998.3156697906134
2023-12-20 16:09:03	24.647	22.811	1.559	0.8210867127491608	998.3195573464844
2023-12-20 16:09:04	24.968	22.801	1.558	0.8207136908965337	998.3230965960371
2023-12-20 16:09:05	25.293	22.787	1.556	0.819861374630469	998.327236094171
2023-12-20 16:09:06	25.618	22.777	1.557	0.8205911615061086	998.3316266822103
2023-12-20 16:09:07	25.843	22.765	1.556	0.8202548092982583	998.3352280548784
2023-12-20 16:09:08	26.146	22.757	1.556	0.8203970529522289	998.33859938952
2023-12-20 16:09:09	26.478	22.745	1.555	0.8200595531319805	998.3426826887575
2023-12-20 16:09:10	26.703	22.737	1.555	0.8202024882613029	998.3456995184498
2023-12-20 16:09:11	26.986	22.738	1.555	0.8201818909987816	998.3467307499538
2023-12-20 16:09:12	27.273	22.736	1.555	0.8202156063581499	998.3485293820486
2023-12-20 16:09:13	27.59	22.735	1.555	0.8202309434461995	998.3502140291521
2023-12-20 16:09:14	27.853	22.731	1.555	0.820301110774709	998.3524034405697
2023-12-20 16:09:15	28.128	22.726	1.555	0.8203893056472854	998.3548967249127
2023-12-20 16:09:16	28.469	22.722	1.554	0.8199065426362963	998.3570205099719
2023-12-20 16:09:17	28.758	22.718	1.554	0.8199764667057997	998.3593271601217
2023-12-20 16:09:18	29.02	22.712	1.555	0.8206352653513885	998.3624290896917
2023-12-20 16:09:19	29.292	22.707	1.555	0.8207235470411229	998.3649080269668
2023-12-20 16:09:20	29.549	22.704	1.555	0.8207757000611939	998.3668198950086
2023-12-20 16:09:21	29.882	22.701	1.556	0.8213797341377843	998.3694943518152
2023-12-20 16:09:22	30.123	22.695	1.555	0.8209339229499787	998.3716633145017
2023-12-20 16:09:23	30.442	22.691	1.555	0.8210036993536255	998.3741049480665
2023-12-20 16:09:24	30.705	22.688	1.555	0.8210558294790286	998.3760436026203
2023-12-20 16:09:25	30.996	22.683	1.555	0.821144020255903	998.3786075884813
2023-12-20 16:09:26	31.071	22.672	1.555	0.8213430662877887	998.3816890229324
2023-12-20 16:09:27	31.209	22.669	1.555	0.8213963320221116	998.3830613501908
2023-12-20 16:09:28	31.169	22.664	1.555	0.8214874964500734	998.3841260943461
2023-12-20 16:09:29	31.476	22.668	1.555	0.821412144772278	998.3845192401417
2023-12-20 16:09:30	31.945	22.664	1.556	0.8220336597157161	998.3880580560955
2023-12-20 16:09:31	32.272	22.658	1.555	0.8215867883813642	998.3906141513903
2023-12-20 16:09:32	32.519	22.654	1.555	0.8216572916056649	998.3927286656962
2023-12-20 16:09:33	32.674	22.653	1.555	0.8216740983050327	998.3936794230698
2023-12-20 16:09:34	32.904	22.651	1.555	0.8217084175457641	998.3952187504372
2023-12-20 16:09:35	33.065	22.649	1.555	0.8217433465396294	998.3964456796897
2023-12-20 16:09:36	33.254	22.649	1.554	0.8211885370286421	998.3968821749232
2023-12-20 16:09:37	33.376	22.648	1.555	0.8217587829365078	998.3981026226305
2023-12-20 16:09:38	33.642	22.646	1.555	0.8217927911322112	998.399804849784
2023-12-20 16:09:39	33.912	22.643	1.555	0.8218449435742021	998.4017741426028
2023-12-20 16:09:40	34.148	22.64	1.554	0.8213441485986733	998.4031702390994
2023-12-20 16:09:41	34.482	22.639	1.554	0.8213593767739021	998.4049312328623
2023-12-20 16:09:42	34.814	22.634	1.554	0.8214473008594855	998.4076788381201
2023-12-20 16:09:43	35.109	22.631	1.554	0.8214992195862667	998.4097610051648
2023-12-20 16:09:44	35.398	22.629	1.554	0.8215330222565428	998.4115670836959
2023-12-20 16:09:45	35.694	22.626	1.555	0.8221383583132572	998.4140730026088
2023-12-20 16:09:46	35.935	22.623	1.554	0.8216373499415648	998.4154911839245
2023-12-20 16:09:47	36.184	22.619	1.555	0.8222613752368799	998.4180330402353
2023-12-20 16:09:48	36.411	22.616	1.555	0.8223139563868306	998.4198070429227
2023-12-20 16:09:49	36.719	22.618	1.555	0.8222748533509915	998.4207038588575
2023-12-20 16:09:50	36.948	22.617	1.555	0.8222910288070701	998.4219893572273
2023-12-20 16:09:51	37.276	22.615	1.555	0.8223245271363164	998.4239718035903
2023-12-20 16:09:52	37.575	22.613	1.555	0.8223582833541041	998.4258229333326
2023-12-20 16:09:53	37.879	22.613	1.555	0.8223556036787663	998.4271991750525
2023-12-20 16:09:54	38.192	22.611	1.555	0.8223892385805502	998.4291136537003
2023-12-20 16:09:55	38.437	22.609	1.556	0.8229771097455284	998.4311397673839
2023-12-20 16:09:56	38.448	22.612	1.555	0.8223687847474935	998.4300238366402
2023-12-20 16:09:57	38.823	22.609	1.556	0.822973704532434	998.4328872164907
2023-12-20 16:09:58	39.205	22.607	1.556	0.8230067580567217	998.4351140185527
2023-12-20 16:09:59	39.455	22.608	1.556	0.8229863406107757	998.4359970398289
2023-12-20 16:10:00	39.76	22.605	1.556	0.8230382874352798	998.4381239649802
2023-12-20 16:10:01	39.944	22.606	1.556	0.8230184509972983	998.4387082101206
2023-12-20 16:10:02	40.256	22.603	1.556	0.8230703393944221	998.4408667818295
2023-12-20 16:10:03	40.537	22.599	1.557	0.8236944924822567	998.4435532342784
2023-12-20 16:10:04	40.808	22.6	1.558	0.8242276471510179	998.4449509749479
2023-12-20 16:10:05	41.044	22.599	1.558	0.8242438034625648	998.4462680400064
2023-12-20 16:10:06	41.377	22.598	1.558	0.824259103147633	998.4480242102838
2023-12-20 16:10:07	41.668	22.598	1.558	0.824256531736359	998.4493415455557
2023-12-20 16:10:08	42.001	22.596	1.558	0.824290075110773	998.451346387846
2023-12-20 16:10:09	42.277	22.595	1.557	0.8237520494881855	998.452424839656
2023-12-20 16:10:10	42.476	22.596	1.558	0.8242858776238197	998.4534966576406
2023-12-20 16:10:11	42.832	22.593	1.558	0.8243374646729064	998.4558542566273
2023-12-20 16:10:12	43.254	22.594	1.558	0.8243154904446413	998.4575159089818
